id,complaint_text,category,timestamp
151,The HVAC system in the main library often fails, leaving students uncomfortable during study hours.,Maintenance,2025-08-15
152,Faculty delayed releasing exam results which is hampering my scholarship application process.,Faculty,2025-07-30
153,Mess food portions are reduced without informing residents; many complain about constant hunger.,Hostel,2025-09-01
154,Several broken benches near the sports ground have not been repaired for months.,Sports,2025-08-20
155,Frequent power outages affect online classes; no timely updates or solutions from maintenance.,Maintenance,2025-07-19
156,Some lecturers have canceled multiple sessions citing personal reasons, affecting syllabus coverage.,Faculty,2025-08-12
157,The hostel Wi-Fi signal is extremely weak on the upper floors making communication difficult.,Hostel,2025-08-25
158,Sports equipment storage rooms are often left unlocked, causing security concerns.,Sports,2025-07-28
159,Water pressure in the hostel bathrooms drops drastically in the evening hours.,Maintenance,2025-08-07
160,Faculty feedback on assignments lacks detail, which makes it hard to improve subsequent work.,Faculty,2025-07-22
161,Mess staff hygiene standards are worrying, raising concerns about food safety.,Hostel,2025-08-17
162,Repeated complaints about the leaking roof near the basketball court have been ignored.,Sports,2025-08-05
163,The air conditioning in several lecture halls is not functioning properly, causing discomfort.,Maintenance,2025-07-27
164,Faculty delays in updating course materials online impact study schedules.,Faculty,2025-08-01
165,Hostel laundry facilities are insufficient for the number of residents, leading to delays.,Hostel,2025-07-24
166,Some sports coaches fail to provide consistent training sessions as scheduled.,Sports,2025-08-16
167,The common room lights flicker constantly, disturbing students trying to relax.,Maintenance,2025-08-10
168,Lack of clarity from faculty regarding project deadlines is causing confusion.,Faculty,2025-07-31
169,Hostel recreational areas are frequently dirty and not maintained properly.,Hostel,2025-08-22
170,Sports tracks have uneven surfaces causing risk of injury during practice.,Sports,2025-07-26
171,Heating system in the hostel rooms is unreliable leading to cold nights for residents.,Maintenance,2025-08-04
172,Some faculty members are not accessible outside class hours for clarifications.,Faculty,2025-08-14
173,Mess menu lacks variety, and there is little consideration for dietary restrictions.,Hostel,2025-07-28
174,Sports field floodlights are broken, restricting evening practice times.,Sports,2025-08-08
175,Frequent water leaks in hostel block C, causing wet floors and hazards.,Maintenance,2025-07-21
176,Delayed responses from faculty regarding internship approvals affecting student plans.,Faculty,2025-08-18
177,Insect infestations reported in the mess area, hygiene needs immediate attention.,Hostel,2025-08-03
178,Sports facilities booking system is faulty leading to scheduling conflicts.,Sports,2025-07-25
179,Elevator in the main academic block often breaks down causing inconvenience.,Maintenance,2025-08-23
180,Lack of detailed exam review sessions from faculty frustrating students.,Faculty,2025-07-29
181,Hostel lights frequently go off at night causing safety concerns.,Hostel,2025-08-07
182,Some sports training equipment is outdated and unsafe to use.,Sports,2025-08-11
183,Repeated complaints about noisy air conditioners in study halls have had no response.,Maintenance,2025-07-26
184,Faculty often postpone scheduled classes citing administrative work load.,Faculty,2025-08-20
185,Mess utensils are often unclean leading to worries about food contamination.,Hostel,2025-08-01
186,The sports complex lacks first aid facilities for injured athletes.,Sports,2025-07-31
187,Broken taps in hostel bathrooms cause water wastage and inconvenience.,Maintenance,2025-08-10
188,Unclear guidelines from faculty on grading criteria are confusing students.,Faculty,2025-07-23
189,Hostel corridors often left unlocked compromising student security.,Hostel,2025-08-19
190,The sports ground parking lot is too small leading to congestion during events.,Sports,2025-07-20
191,Maintenance requests take weeks to be addressed, especially plumbing issues.,Maintenance,2025-08-05
192,Faculty seminars and extra help sessions are rarely arranged for difficult subjects.,Faculty,2025-08-14
193,Mess food preparation areas are frequently untidy raising hygiene questions.,Hostel,2025-07-18
194,Some sports fields are inaccessible due to poor drainage during rainy days.,Sports,2025-08-08
195,Delayed repairs to damaged hostel furniture causing discomfort.,Maintenance,2025-07-27
196,Faculty communication about changes in course structure is inadequate.,Faculty,2025-08-03
197,Hostel lacks adequate garbage disposal system causing unpleasant odors.,Hostel,2025-07-29
198,Sports facilities maintenance staff are unresponsive to repair requests.,Sports,2025-08-20
199,Water heater in hostel bathrooms often malfunctions during winter.,Maintenance,2025-08-12
200,Faculty office hours clash with lecture timings making it hard to meet instructors.,Faculty,2025-07-22
201,The heating in hostel block A rooms is completely unreliable at night; many students struggle to sleep.,Maintenance,2025-09-03
202,Our faculty sometimes miss scheduled office hours without notifying students in advance.,Faculty,2025-09-01
203,Mess food has become repetitive and tasteless, reducing student satisfaction significantly.,Hostel,2025-09-07
204,The sports gym has broken treadmills and no replacement has been scheduled yet.,Sports,2025-09-05
205,Poor lighting in several corridors is causing accidents late at night, urgent maintenance needed.,Maintenance,2025-08-31
206,Delay in updating coursework material online is causing confusion and falling behind.,Faculty,2025-09-06
207,Hostel internet connection drops frequently during late hours, disrupting study sessions.,Hostel,2025-08-29
208,Several often-used sports fields are waterlogged and inaccessible due to poor drainage.,Sports,2025-09-02
209,Washing machine in hostel laundry room is frequently out of order, increasing waiting times.,Maintenance,2025-09-04
210,Faculty communication channels are often unresponsive causing delay in solving queries.,Faculty,2025-08-27
211,Unsanitary conditions in the mess reported by numerous students, urgent cleaning needed.,Hostel,2025-09-08
212,Sports equipment booking system is confusing and often results in double bookings.,Sports,2025-09-03
213,Electrical socket issues in study rooms cause disruptions during computer labs.,Maintenance,2025-09-07
214,Lack of timely response from faculty about grade appeals causing student anxiety.,Faculty,2025-08-30
215,Mess staff often serve cold food despite high temperatures leading to food safety worries.,Hostel,2025-08-28
216,The football field lacks proper line markings, which affects official matches.,Sports,2025-09-06
217,Leaky taps and faucets in hostel washrooms cause water wastage and discomfort.,Maintenance,2025-09-05
218,Course instructors often reschedule classes last minute without informing students.,Faculty,2025-09-01
219,Poor recycling and trash disposal facilities in the hostel increase pest problems.,Hostel,2025-09-07
220,Sports courts are untidy and have broken fences, creating safety hazards.,Sports,2025-08-29
221,Heating systems in academic blocks are faulty, affecting concentration during cold days.,Maintenance,2025-09-04
222,Faculty often do not provide detailed feedback on assignments, limiting student improvement.,Faculty,2025-09-08
223,Mess food portions are too small and do not satisfy nutritional needs of active students.,Hostel,2025-09-02
224,Some gym equipment is outdated and causes minor injuries during workouts.,Sports,2025-09-05
225,Flickering lights in hostel study areas make it hard to focus during late study hours.,Maintenance,2025-09-03
226,Faculty communication about exam schedules is often delayed, causing confusion.,Faculty,2025-08-31
227,Multiple complaints of unhygienic mess utensils leading to student health concerns.,Hostel,2025-09-06
228,Lack of water stations near sports fields causes dehydration risks during summer.,Sports,2025-09-01
229,Several hostels suffer from irregular garbage collection leading to smells and pests.,Maintenance,2025-09-07
230,Faculty are sometimes hard to reach for clarifications outside class hours.,Faculty,2025-09-04
231,Hostel common rooms frequently unavailable due to poor maintenance and scheduling issues.,Hostel,2025-08-30
232,Lack of qualified sports coaching staff has reduced training quality significantly.,Sports,2025-09-06
233,Air conditioning units in library often malfunction during peak usage times.,Maintenance,2025-09-02
234,Faculty occasionally fail to respond to emails about project deadlines and requirements.,Faculty,2025-09-05
235,Mess food hygiene standards seem to have fallen, as reported by multiple students.,Hostel,2025-09-07
236,Sports equipment rooms are often left unlocked, raising safety concerns.,Sports,2025-09-01
237,Several toilets in the hostel are broken and have not been repaired for weeks.,Maintenance,2025-09-06
238,Lack of detailed syllabus updates from faculty creates confusion among students.,Faculty,2025-08-29
239,Frequent water shortages in hostel blocks affect daily routines significantly.,Hostel,2025-09-03
240,The jogging track surface is uneven and causes injuries to runners frequently.,Sports,2025-08-31
241,Heating system malfunctions in study halls leading to discomfort amidst exams.,Maintenance,2025-09-07
242,Faculty feedback on practicals lacks clarity, which affects lab preparation.,Faculty,2025-09-02
243,Mess meals are sometimes served cold despite complaints from residents.,Hostel,2025-09-05
244,Incomplete sports gear inventory makes it difficult to conduct official matches.,Sports,2025-09-04
245,Recurring power outages disrupt hostel activities and cause safety concerns.,Maintenance,2025-08-28
246,Faculty availability for extra help sessions is inconsistent causing frustration.,Faculty,2025-09-06
247,Hostel recreation areas need urgent maintenance due to frequent damages.,Hostel,2025-09-01
248,Some sports facilities are closed unexpectedly without notice affecting practice.,Sports,2025-09-03
249,Leaking roofs in academic blocks cause distractions and damage personal belongings.,Maintenance,2025-09-05
250,Faculty grading criteria are sometimes unclear and inconsistently applied.,Faculty,2025-09-07
251,The air conditioning in the seminar hall is broken, making it unbearable during summer lectures.,Maintenance,2025-09-12
252,Faculty often cancel discussion sessions without informing students in advance, disrupting study plans.,Faculty,2025-09-11
253,The cleanliness of the hostel kitchen has significantly declined, with pests being spotted frequently.,Hostel,2025-09-10
254,Many of the basketballs used for practice are old and deflated, impeding quality training.,Sports,2025-09-09
255,The campus Wi-Fi often drops out during critical lecture presentations, frustrating attendees.,Maintenance,2025-09-08
256,Several professors are unresponsive to emails about assignment deadlines, causing confusion.,Faculty,2025-09-07
257,Mess staff behavior has worsened; complaints about rudeness are common among residents.,Hostel,2025-09-06
258,The outdoor volleyball court has many cracks leading to unsafe playing conditions.,Sports,2025-09-05
259,The hostel water heater has been out of service for weeks, causing severe discomfort.,Maintenance,2025-09-04
260,Faculty fail to update the course portal regularly, leaving students without current resources.,Faculty,2025-09-03
261,Unpleasant odors are often present in the east wing of the hostel, likely due to poor ventilation.,Hostel,2025-09-02
262,Sports practice schedules are frequently changed with little notice, confusing athletes.,Sports,2025-09-01
263,The elevator in the arts building is frequently stuck between floors, creating safety hazards.,Maintenance,2025-08-31
264,Several lecturers are unavailable during consultation hours, making it difficult to seek help.,Faculty,2025-08-30
265,Mess food has poor variety, and frequent repeat menus bore most students.,Hostel,2025-08-29
266,Sports training facilities lack adequate lighting, making evening practice difficult.,Sports,2025-08-28
267,Several lights in the hostel corridors have been out for weeks, raising safety concerns.,Maintenance,2025-08-27
268,Faculty provide minimal feedback on essay submissions which limits student progress.,Faculty,2025-08-26
269,Unhygienic conditions in the laundry area due to delayed cleaning routines.,Hostel,2025-08-25
270,Many sports lockers are broken with faulty locks, risking loss of equipment.,Sports,2025-08-24
271,Hot water availability in hostel bathrooms is unreliable, especially during mornings.,Maintenance,2025-08-23
272,Delay in posting grades for midterms has created anxiety among students.,Faculty,2025-08-22
273,The mess staff often serve cold parcels for students attending early classes.,Hostel,2025-08-21
274,Broken nets on the cricket pitch reduce the quality of training sessions.,Sports,2025-08-20
275,Fire alarms in several hostel blocks are malfunctioning, raising safety issues.,Maintenance,2025-08-19
276,Some faculty members are late to lectures regularly, wasting valuable class time.,Faculty,2025-08-18
277,Mess utensils often appear unclean leading to health concerns among residents.,Hostel,2025-08-17
278,Frequent cancellations of sports practice sessions without prior notice.,Sports,2025-08-16
279,Heating systems in the library are inadequate during cold weather, causing discomfort.,Maintenance,2025-08-15
280,Professors sometimes give ambiguous instructions about assignment submissions.,Faculty,2025-08-14
281,Unpleasant smell in the basement common room due to stagnant water.,Hostel,2025-08-13
282,Limited access to indoor sports facilities on weekends creates scheduling problems.,Sports,2025-08-12
283,Many fans in lecture halls are broken, causing discomfort during hot days.,Maintenance,2025-08-11
284,Some course materials are not uploaded online despite deadlines approaching.,Faculty,2025-08-10
285,Mess food portions are small and leave many students hungry after meals.,Hostel,2025-08-09
286,Sports equipment like rackets and balls are old and need immediate replacement.,Sports,2025-08-08
287,Hostel door locks are faulty causing security concerns, especially at night.,Maintenance,2025-08-07
288,Faculty response times for assignment queries are slow, causing confusion.,Faculty,2025-08-06
289,The mess area garbage bins overflow frequently causing foul odor.,Hostel,2025-08-05
290,Water supply interruptions during sports practice sessions affect hydration.,Sports,2025-08-04
291,Several floors in the hostel suffer from poor elevator service disrupting mobility.,Maintenance,2025-08-03
292,Lack of timely feedback from faculty on term papers affects study planning.,Faculty,2025-08-02
293,Inconsistent cleaning schedules of hostel bathrooms lowering hygiene standards.,Hostel,2025-08-01
294,Some gym machines at the sports complex are out of order for weeks.,Sports,2025-07-31
295,Heating malfunctions in student lounges cause discomfort during late night group studies.,Maintenance,2025-07-30
296,Faculty members sometimes do not hold scheduled revision classes.,Faculty,2025-07-29
297,Mess staff hygiene practices are questionable impacting food safety.,Hostel,2025-07-28
298,Unsatisfactory maintenance of outdoor sports fields reduces usable practice area.,Sports,2025-07-27
299,Water leakage issues in hostel rooms cause property damage and inconvenience.,Maintenance,2025-07-26
300,Delay in faculty posting lecture notes online affects exam preparations.,Faculty,2025-07-25
301,The seminar hall projector has been malfunctioning for weeks causing disruption in classes.,Maintenance,2025-07-24
302,Faculty members frequently delay in uploading course materials which affects learning.,Faculty,2025-07-23
303,Frequent delays in mess meal timings have caused inconvenience during tight schedules.,Hostel,2025-07-22
304,Sports ground floodlights are dim and often don’t turn on during evening matches.,Sports,2025-07-21
305,Several electrical outlets in the hostel common rooms are non-functional for months.,Maintenance,2025-07-20
306,Some faculty provide minimal clarification on complex topics leaving students confused.,Faculty,2025-07-19
307,Hostel food quality fluctuates greatly between meals often leading to complaints.,Hostel,2025-07-18
308,The outdoor basketball court surface is eroded and unsafe for play.,Sports,2025-07-17
309,Water leakage from AC units in academic buildings causing damage to furniture.,Maintenance,2025-07-16
310,Unexpected cancellation of tutorials by faculty without prior notification.,Faculty,2025-07-15
311,Mess staff sometimes neglect hygiene standards compromising food safety.,Hostel,2025-07-14
312,Broken gym equipment remains unrepaired for weeks creating hazards.,Sports,2025-07-13
313,Poor ventilation in hostel rooms causes discomfort during hot weather.,Maintenance,2025-07-12
314,Faculty members are often late or miss scheduled office hours.,Faculty,2025-07-11
315,Mess menus lack nutritional balance impacting student health during exam periods.,Hostel,2025-07-10
316,The tennis court nets are torn and have not been replaced for a long time.,Sports,2025-07-09
317,Frequent power fluctuations disrupt hostel study environments.,Maintenance,2025-07-08
318,Faculty provide insufficient guidance on lab practicals leading to poor understanding.,Faculty,2025-07-07
319,Unclean hostel common areas attract pests, affecting student comfort.,Hostel,2025-07-06
320,Lack of access to sports equipment due to poor maintenance.,Sports,2025-07-05
321,Faulty heating systems in library cause disturbances during winter sessions.,Maintenance,2025-07-04
322,Inconsistent faculty feedback makes exam preparation difficult.,Faculty,2025-07-03
323,Mess staff behavior is not always courteous, making dining experiences unpleasant.,Hostel,2025-07-02
324,Sports trails are narrow and poorly maintained, reducing practice effectiveness.,Sports,2025-07-01
325,Water supply interruptions in hostel block cause major inconvenience.,Maintenance,2025-06-30
326,Difficulty in communication with faculty regarding course changes.,Faculty,2025-06-29
327,Mess facilities lack sufficient seating causing overcrowding during peak hours.,Hostel,2025-06-28
328,Broken lights in sports locker rooms create unsafe conditions.,Sports,2025-06-27
329,Damage to hostel study room furniture affecting student health and posture.,Maintenance,2025-06-26
330,Faculty are often unavailable during consultation appointments.,Faculty,2025-06-25
331,Mess food served cold frequently despite complaints from students.,Hostel,2025-06-24
332,The athletic track has several cracks and needs urgent resurfacing.,Sports,2025-06-23
333,Intermittent water supply problems in hostel causing hygiene concerns.,Maintenance,2025-06-22
334,Faculty delay grading assignments impacting student planning.,Faculty,2025-06-21
335,Unpleasant odors in the hostel basement due to drainage issues.,Hostel,2025-06-20
336,Some sports equipment is outdated and not safe for regular use.,Sports,2025-06-19
337,Heating malfunctions in hostel at night leaving students uncomfortable.,Maintenance,2025-06-18
338,Faculty information about exam schedules is not distributed systematically.,Faculty,2025-06-17
339,Dirty hostel bathrooms reduce student morale and comfort.,Hostel,2025-06-16
340,Sports facilities are often locked without notice preventing practice.,Sports,2025-06-15
341,Lack of sufficient lights in hostel outdoor areas causing safety concerns.,Maintenance,2025-06-14
342,Faculty are sometimes late starting lectures affecting syllabus coverage.,Faculty,2025-06-13
343,Mess food portions are inconsistent and sometimes insufficient.,Hostel,2025-06-12
344,Broken fencing around soccer field makes it difficult to manage games.,Sports,2025-06-11
345,Recurring electrical faults in student housing disrupt daily routines.,Maintenance,2025-06-10
346,Faculty do not provide adequate exam preparation materials and support.,Faculty,2025-06-09
347,Mess dining area often overcrowded and uncomfortable during meal times.,Hostel,2025-06-08
348,Some gym equipment does not have proper instructions causing misuse.,Sports,2025-06-07
349,Hostel laundry machines frequently out of order increasing wait times.,Maintenance,2025-06-06
350,Faculty communication is sometimes vague causing confusion in coursework.,Faculty,2025-06-05
351,The auditorium sound system is outdated causing poor audio quality during events.,Maintenance,2025-07-24
352,Faculty members are frequently late to classes which disrupts the learning schedule.,Faculty,2025-07-23
353,Mess food hygiene is poor, some students have reported getting sick after meals.,Hostel,2025-07-22
354,Several sports nets around the basketball court are torn and need urgent replacement.,Sports,2025-07-21
355,Lighting in the student common area is dim and often flickers causing discomfort.,Maintenance,2025-07-20
356,Faculty rarely hold review sessions before exams, leaving students unprepared.,Faculty,2025-07-19
357,Significant delays in water supply in hostels make daily hygiene challenging.,Hostel,2025-07-18
358,The tennis courts have broken surfaces making them unsafe for play.,Sports,2025-07-17
359,Heating systems in the library are insufficient during winter creating an uncomfortable environment.,Maintenance,2025-07-16
360,Faculty often do not provide detailed marking criteria for assignments causing confusion.,Faculty,2025-07-15
361,Mess staff attitude is sometimes rude which negatively affects dining atmosphere.,Hostel,2025-07-14
362,Broken equipment in the gym has not been fixed for several weeks.,Sports,2025-07-13
363,Air conditioning in common study rooms is either too cold or not working at all.,Maintenance,2025-07-12
364,Faculty are not accessible outside of class hours for additional academic help.,Faculty,2025-07-11
365,Mess food variety is low, and repetitive menus reduce student satisfaction.,Hostel,2025-07-10
366,Some sports training schedules frequently get changed at short notice.,Sports,2025-07-09
367,Elevators in hostel block A often break down, inconveniencing residents.,Maintenance,2025-07-08
368,Faculty responses to student queries on assignments are often delayed.,Faculty,2025-07-07
369,Unclean conditions reported around hostel waste disposal areas.,Hostel,2025-07-06
370,Sports field drainage is poor resulting in waterlogging after rains.,Sports,2025-07-05
371,Frequent power cuts in hostels cause interruptions in study routines.,Maintenance,2025-07-04
372,Faculty sometimes cancel lectures unexpectedly which disrupts learning pace.,Faculty,2025-07-03
373,Mess kitchen often smells bad due to poor ventilation.,Hostel,2025-07-02
374,Some gym machines have safety issues which have not been addressed.,Sports,2025-07-01
375,Lack of hot water in hostel bathrooms during winters affects comfort.,Maintenance,2025-06-30
376,Faculty sometimes fail to provide clear guidelines on projects and exams.,Faculty,2025-06-29
377,Mess portion sizes sometimes do not meet student nutritional needs.,Hostel,2025-06-28
378,Sports courts are inadequately maintained leading to injuries.,Sports,2025-06-27
379,Broken windows and poor sealing in hostel rooms cause drafts.,Maintenance,2025-06-26
380,Faculty lecture slides are often outdated or missing important information.,Faculty,2025-06-25
381,Mess utensils are often unclean leading to concern among students.,Hostel,2025-06-24
382,Some sports events are poorly scheduled leading to conflicts and cancellations.,Sports,2025-06-23
383,Heating in academic blocks is unreliable resulting in discomfort during cold days.,Maintenance,2025-06-22
384,Faculty availability is limited during exam preparation affecting performance.,Faculty,2025-06-21
