"id","complaint_text","category","timestamp"
"128","Mess staff behavior worsened with complaints about rudeness.","Hostel","2025-09-06"
"129","Outdoor volleyball court has many cracks causing unsafe conditions.","Sports","2025-09-05"
"130","Hostel water heater out of service for weeks.","Maintenance","2025-09-04"
"131","Faculty fail to update course portal regularly.","Faculty","2025-09-03"
"132","Unpleasant odors in east wing due to poor ventilation.","Hostel","2025-09-02"
"133","Sports practice schedules frequently changed with little notice.","Sports","2025-09-01"
"134","Elevator in arts building frequently stuck between floors.","Maintenance","2025-08-31"
"135","Lecturers unavailable during consultation hours.","Faculty","2025-08-30"
"136","Mess food has poor variety with frequent repeat menus.","Hostel","2025-08-29"
"137","Sports training facilities lack adequate lighting for evening practice.","Sports","2025-08-28"
"138","Several lights in hostel corridors out for weeks raising safety concerns.","Maintenance","2025-08-27"
"139","Faculty provide minimal feedback on essay submissions.","Faculty","2025-08-26"
"140","Unhygienic conditions in laundry area due to delayed cleaning.","Hostel","2025-08-25"
"141","Many sports lockers broken with faulty locks risking equipment loss.","Sports","2025-08-24"
"142","Hot water availability in hostel bathrooms unreliable during mornings.","Maintenance","2025-08-23"
"143","Delay in posting midterm grades creates student anxiety.","Faculty","2025-08-22"
"144","Mess staff often serve cold parcels for early class students.","Hostel","2025-08-21"
"145","Broken nets on cricket pitch reduce training quality.","Sports","2025-08-20"
"146","Fire alarms in hostel blocks malfunctioning raising safety issues.","Maintenance","2025-08-19"
"147","Faculty members regularly late to lectures wasting class time.","Faculty","2025-08-18"
"148","Mess utensils appear unclean leading to health concerns.","Hostel","2025-08-17"
"149","Frequent sports practice cancellations without prior notice.","Sports","2025-08-16"
"150","Heating systems in library inadequate during cold weather.","Maintenance","2025-08-15"
"151","Professors give ambiguous assignment submission instructions.","Faculty","2025-08-14"
"152","Unpleasant smell in basement common room due to stagnant water.","Hostel","2025-08-13"
"153","Limited weekend access to indoor sports facilities creates problems.","Sports","2025-08-12"
"154","Many lecture hall fans broken causing discomfort during hot days.","Maintenance","2025-08-11"
"155","Course materials not uploaded online despite approaching deadlines.","Faculty","2025-08-10"
"156","Mess food portions small leaving students hungry after meals.","Hostel","2025-08-09"
"157","Sports equipment like rackets and balls old needing replacement.","Sports","2025-08-08"
"158","Hostel door locks faulty causing security concerns at night.","Maintenance","2025-08-07"
"159","Faculty response times for assignment queries slow causing confusion.","Faculty","2025-08-06"
"160","Mess area garbage bins overflow frequently causing foul odor.","Hostel","2025-08-05"
"161","Water supply interruptions during sports practice affect hydration.","Sports","2025-08-04"
"162","Several hostel floors suffer from poor elevator service.","Maintenance","2025-08-03"
"163","Lack of timely faculty feedback on term papers affects planning.","Faculty","2025-08-02"
"164","Inconsistent hostel bathroom cleaning schedules lower hygiene standards.","Hostel","2025-08-01"
"165","Gym machines at sports complex out of order for weeks.","Sports","2025-07-31"
"166","Heating malfunctions in student lounges during late night studies.","Maintenance","2025-07-30"
"167","Faculty members do not hold scheduled revision classes.","Faculty","2025-07-29"
"168","Mess staff hygiene practices questionable impacting food safety.","Hostel","2025-07-28"
"169","Unsatisfactory outdoor sports fields maintenance reduces usable area.","Sports","2025-07-27"
"170","Water leakage in hostel rooms causes property damage.","Maintenance","2025-07-26"
"171","Faculty delay posting lecture notes online affecting exam prep.","Faculty","2025-07-25"
"172","Seminar hall projector malfunctioning for weeks disrupting classes.","Maintenance","2025-07-24"
"173","Faculty frequently delay uploading course materials affecting learning.","Faculty","2025-07-23"
"174","Frequent mess meal timing delays cause inconvenience.","Hostel","2025-07-22"
"175","Sports ground floodlights dim and often don't turn on.","Sports","2025-07-21"
"176","Electrical outlets in hostel common rooms non-functional for months.","Maintenance","2025-07-20"
"177","Faculty provide minimal clarification on complex topics.","Faculty","2025-07-19"
"178","Hostel food quality fluctuates greatly between meals.","Hostel","2025-07-18"
"179","Outdoor basketball court surface eroded and unsafe.","Sports","2025-07-17"
"180","Water leakage from AC units damaging academic building furniture.","Maintenance","2025-07-16"
"181","Unexpected tutorial cancellations by faculty without notification.","Faculty","2025-07-15"
"182","Mess staff sometimes neglect hygiene compromising food safety.","Hostel","2025-07-14"
"183","Broken gym equipment remains unrepaired for weeks creating hazards.","Sports","2025-07-13"
"184","Poor hostel room ventilation causes discomfort during hot weather.","Maintenance","2025-07-12"
"185","Faculty members often late or miss scheduled office hours.","Faculty","2025-07-11"
"186","Mess menus lack nutritional balance impacting student health.","Hostel","2025-07-10"
"187","Tennis court nets torn and not replaced for long time.","Sports","2025-07-09"
"188","Frequent power fluctuations disrupt hostel study environments.","Maintenance","2025-07-08"
"189","Faculty provide insufficient lab practical guidance.","Faculty","2025-07-07"
"190","Unclean hostel common areas attract pests affecting comfort.","Hostel","2025-07-06"
"191","Lack of sports equipment access due to poor maintenance.","Sports","2025-07-05"
"192","Faulty library heating systems cause winter session disturbances.","Maintenance","2025-07-04"
"193","Inconsistent faculty feedback makes exam preparation difficult.","Faculty","2025-07-03"
"194","Mess staff behavior not always courteous making dining unpleasant.","Hostel","2025-07-02"
"195","Sports trails narrow and poorly maintained reducing practice effectiveness.","Sports","2025-07-01"
"196","Water supply interruptions in hostel blocks cause major inconvenience.","Maintenance","2025-06-30"
"197","Difficulty communicating with faculty regarding course changes.","Faculty","2025-06-29"
"198","Mess facilities lack sufficient seating causing peak hour overcrowding.","Hostel","2025-06-28"
"199","Broken lights in sports locker rooms create unsafe conditions.","Sports","2025-06-27"
"200","Damage to hostel study room furniture affecting student posture.","Maintenance","2025-06-26"
"201","Faculty often unavailable during consultation appointments.","Faculty","2025-06-25"
"202","Mess food served cold frequently despite student complaints.","Hostel","2025-06-24"
"203","Athletic track has several cracks needing urgent resurfacing.","Sports","2025-06-23"
"204","Intermittent water supply problems cause hostel hygiene concerns.","Maintenance","2025-06-22"
"205","Faculty delay grading assignments impacting student planning.","Faculty","2025-06-21"
"206","Unpleasant odors in hostel basement due to drainage issues.","Hostel","2025-06-20"
"207","Sports equipment outdated and not safe for regular use.","Sports","2025-06-19"
"208","Heating malfunctions in hostel at night leaving students uncomfortable.","Maintenance","2025-06-18"
"209","Faculty information about exam schedules not distributed systematically.","Faculty","2025-06-17"
"210","Dirty hostel bathrooms reduce student morale and comfort.","Hostel","2025-06-16"
"211","Sports facilities often locked without notice preventing practice.","Sports","2025-06-15"
"212","Lack of sufficient lights in hostel outdoor areas causes safety concerns.","Maintenance","2025-06-14"
"213","Faculty sometimes late starting lectures affecting syllabus coverage.","Faculty","2025-06-13"
"214","Mess food portions inconsistent and sometimes insufficient.","Hostel","2025-06-12"
"215","Broken fencing around soccer field makes game management difficult.","Sports","2025-06-11"
"216","Recurring electrical faults in student housing disrupt routines.","Maintenance","2025-06-10"
"217","Faculty do not provide adequate exam preparation materials.","Faculty","2025-06-09"
"218","Mess dining area often overcrowded during meal times.","Hostel","2025-06-08"
"219","Gym equipment lacks proper instructions causing misuse.","Sports","2025-06-07"
"220","Hostel laundry machines frequently out of order increasing wait times.","Maintenance","2025-06-06"
"221","Faculty communication sometimes vague causing coursework confusion.","Faculty","2025-06-05"
"222","Auditorium sound system outdated causing poor audio quality.","Maintenance","2025-07-24"
"223","Faculty members frequently late to classes disrupting schedules.","Faculty","2025-07-23"
"224","Mess food hygiene poor with some students reporting illness.","Hostel","2025-07-22"
"225","Sports nets around basketball court torn needing urgent replacement.","Sports","2025-07-21"
"226","Student common area lighting dim and often flickers.","Maintenance","2025-07-20"
"227","Faculty rarely hold pre-exam review sessions leaving students unprepared.","Faculty","2025-07-19"
"228","Significant water supply delays make daily hygiene challenging.","Hostel","2025-07-18"
"229","Tennis courts have broken surfaces making them unsafe.","Sports","2025-07-17"
"230","Library heating insufficient during winter creating uncomfortable environment.","Maintenance","2025-07-16"
"231","Faculty often do not provide detailed assignment marking criteria.","Faculty","2025-07-15"
"232","Mess staff attitude sometimes rude negatively affecting dining.","Hostel","2025-07-14"
"233","Broken gym equipment not fixed for several weeks.","Sports","2025-07-13"
"234","Common study room air conditioning either too cold or not working.","Maintenance","2025-07-12"
"235","Faculty not accessible outside class hours for additional help.","Faculty","2025-07-11"
"236","Mess food variety low with repetitive menus reducing satisfaction.","Hostel","2025-07-10"
"237","Sports training schedules frequently changed at short notice.","Sports","2025-07-09"
"238","Elevators in hostel block A often break down inconveniencing residents.","Maintenance","2025-07-08"
"239","Faculty responses to assignment queries often delayed.","Faculty","2025-07-07"
"240","Unclean conditions around hostel waste disposal areas.","Hostel","2025-07-06"
"241","Sports field drainage poor resulting in waterlogging after rains.","Sports","2025-07-05"
"242","Frequent hostel power cuts interrupt study routines.","Maintenance","2025-07-04"
"243","Faculty sometimes cancel lectures unexpectedly disrupting learning pace.","Faculty","2025-07-03"
"244","Mess kitchen often smells bad due to poor ventilation.","Hostel","2025-07-02"
"245","Gym machines have unaddressed safety issues.","Sports","2025-07-01"
"246","Lack of hot water in hostel bathrooms during winters.","Maintenance","2025-06-30"
"247","Faculty sometimes fail to provide clear project guidelines.","Faculty","2025-06-29"
"248","Mess portion sizes sometimes inadequate for nutritional needs.","Hostel","2025-06-28"
"249","Sports courts inadequately maintained leading to injuries.","Sports","2025-06-27"
"250","Broken windows in hostel rooms cause drafts.","Maintenance","2025-06-26"
"251","The campus shuttle service is frequently delayed causing students to miss classes.","Maintenance","2025-09-15"
"252","Faculty members do not respond to requests for recommendation letters within reasonable time.","Faculty","2025-09-14"
"253","Hostel security guards are often absent from their posts during night shifts.","Hostel","2025-09-13"
"254","Swimming pool maintenance is poor with algae growth making it unusable for weeks.","Sports","2025-09-12"
"255","Laboratory equipment is outdated and frequently malfunctions during experiments.","Maintenance","2025-09-11"
"256","Course prerequisites are not clearly communicated leading to enrollment confusion.","Faculty","2025-09-10"
"257","Hostel parking spaces are insufficient causing conflicts among residents.","Hostel","2025-09-09"
"258","Badminton court flooring has developed cracks posing injury risks during matches.","Sports","2025-09-08"
"259","Campus streetlights are dim and many are non-functional creating safety hazards.","Maintenance","2025-09-07"
"260","Faculty often skip office hours during exam periods when students need help most.","Faculty","2025-09-06"
"261","Hostel noise complaints are not addressed by wardens leading to sleep disruption.","Hostel","2025-09-05"
"262","Sports equipment checkout system is inefficient causing long queues.","Sports","2025-09-04"
"263","Classroom projector bulbs burn out frequently and replacements take weeks.","Maintenance","2025-09-03"
"264","Faculty feedback forms are rarely used to improve teaching methods.","Faculty","2025-09-02"
"265","Hostel visitor policies are inconsistently enforced causing confusion.","Hostel","2025-09-01"
"266","Outdoor fitness equipment is rusted and unsafe for regular use.","Sports","2025-08-31"
"267","Campus drainage system clogs during monsoons flooding walkways.","Maintenance","2025-08-30"
"268","Faculty attendance policies vary widely across departments without clear standards.","Faculty","2025-08-29"
"269","Hostel study rooms are often occupied by non-residents reducing availability.","Hostel","2025-08-28"
"270","Cricket practice nets have holes making bowling practice ineffective.","Sports","2025-08-27"
"271","Computer lab air conditioning systems freeze up regularly disrupting classes.","Maintenance","2025-08-26"
"272","Faculty grading turnaround times exceed university policy limits.","Faculty","2025-08-25"
"273","Hostel mailboxes are broken and mail delivery is irregular.","Hostel","2025-08-24"
"274","Weight room mirrors are cracked creating safety hazards during workouts.","Sports","2025-08-23"
"275","Campus Wi-Fi frequently disconnects in dormitory areas during peak hours.","Maintenance","2025-08-22"
"276","Faculty research opportunities are not adequately communicated to undergraduate students.","Faculty","2025-08-21"
"277","Hostel hot plates and cooking facilities are insufficient for resident needs.","Hostel","2025-08-20"
"278","Table tennis tables have warped surfaces affecting ball bounce during games.","Sports","2025-08-19"
"279","Parking lot potholes damage vehicles and have not been repaired for months.","Maintenance","2025-08-18"
"280","Faculty sabbatical replacements often lack subject expertise affecting course quality.","Faculty","2025-08-17"
"281","Hostel telephone systems are outdated and frequently out of order.","Hostel","2025-08-16"
"282","Sports field sprinkler systems over-water areas creating muddy conditions.","Sports","2025-08-15"
"283","Library heating vents blow dust and allergens causing respiratory discomfort.","Maintenance","2025-08-14"
"284","Faculty publication requirements create conflicts between research and teaching time.","Faculty","2025-08-13"
"285","Hostel evacuation procedures are not regularly practiced or clearly posted.","Hostel","2025-08-12"
"286","Volleyball nets sag excessively and are not properly tensioned for games.","Sports","2025-08-11"
"287","Campus emergency call boxes are not functional in several locations.","Maintenance","2025-08-10"
"288","Faculty course syllabi are often incomplete or missing key assignment details.","Faculty","2025-08-09"
"289","Hostel fire extinguishers have expired dates and need immediate replacement.","Hostel","2025-08-08"
"290","Soccer goalposts are not securely anchored posing safety risks during play.","Sports","2025-08-07"
"291","Lecture hall microphone systems produce feedback and static during presentations.","Maintenance","2025-08-06"
"292","Faculty diversity in hiring does not reflect university stated commitment goals.","Faculty","2025-08-05"
"293","Hostel key card access systems malfunction frequently locking out residents.","Hostel","2025-08-04"
"294","Track and field hurdles are damaged and not regulation height for competitions.","Sports","2025-08-03"
"295","Campus recycling bins are not emptied regularly causing overflow and odors.","Maintenance","2025-08-02"
"296","Faculty mentorship programs are inadequately structured and lack clear guidelines.","Faculty","2025-08-01"
"297","Hostel common room furniture is worn and uncomfortable for extended use.","Hostel","2025-07-31"
"298","Sports medicine supplies are insufficient and outdated at training facilities.","Sports","2025-07-30"
"299","Campus security cameras have blind spots in critical areas near dormitories.","Maintenance","2025-07-29"
"300","Faculty committee assignments create excessive workloads affecting teaching quality.","Faculty","2025-07-28"
"301","Hostel move-in procedures are disorganized causing unnecessary delays and stress.","Hostel","2025-07-27"
"302","Basketball court lines need repainting as current markings are barely visible.","Sports","2025-07-26"
"303","Student center roof leaks during rainy weather damaging equipment and furniture.","Maintenance","2025-07-25"
"304","Faculty training on new technology platforms is inadequate affecting online learning.","Faculty","2025-07-24"
"305","Hostel laundry room ventilation is poor causing excessive humidity and mold.","Hostel","2025-07-23"
"306","Archery range safety equipment is outdated and potentially unsafe for use.","Sports","2025-07-22"
"307","Campus landscaping sprinklers spray walkways making them slippery and dangerous.","Maintenance","2025-07-21"
"308","Faculty workload distribution is uneven across departments creating burnout issues.","Faculty","2025-07-20"
"309","Hostel room temperature control is inconsistent between floors and buildings.","Hostel","2025-07-19"
"310","Golf practice putting greens are in poor condition with uneven surfaces.","Sports","2025-07-18"
"311","Dormitory smoke detectors chirp due to low batteries disturbing sleep patterns.","Maintenance","2025-07-17"
"312","Faculty professional development opportunities are limited and poorly funded.","Faculty","2025-07-16"
"313","Hostel guest registration system is cumbersome and often crashes during use.","Hostel","2025-07-15"
"314","Rowing equipment maintenance is neglected causing safety concerns on water.","Sports","2025-07-14"
"315","Campus pathways have loose bricks creating trip hazards for pedestrians.","Maintenance","2025-07-13"
"316","Faculty collaboration across departments is hindered by scheduling conflicts.","Faculty","2025-07-12"
"317","Hostel event booking system double-schedules rooms causing program conflicts.","Hostel","2025-07-11"
"318","Martial arts mats are torn and need replacement for safe training sessions.","Sports","2025-07-10"
"319","Library book return slots are frequently jammed requiring staff intervention.","Maintenance","2025-07-09"
"320","Faculty sabbatical application process is unclear and poorly documented.","Faculty","2025-07-08"
"321","Hostel maintenance request system is slow and lacks progress tracking features.","Hostel","2025-07-07"
"322","Climbing wall safety ropes show signs of wear and need professional inspection.","Sports","2025-07-06"
"323","Campus outdoor seating areas have broken benches that are not being repaired.","Maintenance","2025-07-05"
"324","Faculty interdisciplinary course proposals face excessive bureaucratic obstacles.","Faculty","2025-07-04"
"325","Hostel printing facilities are frequently out of paper and toner cartridges.","Hostel","2025-07-03"
"326","Dance studio mirrors are cracked and create distorted reflections during practice.","Sports","2025-07-02"
"327","Classroom whiteboards are stained and difficult to erase affecting visibility.","Maintenance","2025-07-01"
"328","Faculty performance evaluation criteria are subjective and inconsistently applied.","Faculty","2025-06-30"
"329","Hostel storage lockers are too small for seasonal clothing and personal items.","Hostel","2025-06-29"
"330","Squash court walls have ball marks that interfere with game visibility.","Sports","2025-06-28"
"331","Campus construction zones lack proper signage creating pedestrian safety risks.","Maintenance","2025-06-27"
"332","Faculty research funding application deadlines are not well communicated.","Faculty","2025-06-26"
"333","Hostel internet bandwidth is insufficient during peak usage hours.","Hostel","2025-06-25"
"334","Fencing equipment is outdated and masks have visibility issues.","Sports","2025-06-24"
"335","Auditorium seating has broken springs making long events uncomfortable.","Maintenance","2025-06-23"
"336","Faculty teaching loads prevent adequate time for student individual consultations.","Faculty","2025-06-22"
"337","Hostel bike storage areas are inadequate and bicycles are frequently stolen.","Hostel","2025-06-21"
"338","Gymnastics equipment padding is compressed and provides insufficient protection.","Sports","2025-06-20"
"339","Campus water fountains are frequently out of order or produce warm water.","Maintenance","2025-06-19"
"340","Faculty email response times to urgent student queries exceed reasonable limits.","Faculty","2025-06-18"
"341","Hostel garbage collection schedules are inconsistent causing sanitation issues.","Hostel","2025-06-17"
"342","Wrestling mats are slippery when cleaned and pose safety risks during training.","Sports","2025-06-16"
"343","Laboratory fume hoods are not properly calibrated creating health hazards.","Maintenance","2025-06-15"
"344","Faculty course scheduling creates conflicts with required prerequisite sequences.","Faculty","2025-06-14"
"345","Hostel social events lack variety and fail to engage diverse student interests.","Hostel","2025-06-13"
"346","Lacrosse field goals are bent and not regulation size for official games.","Sports","2025-06-12"
"347","Campus shuttle stops lack weather protection leaving passengers exposed.","Maintenance","2025-06-11"
"348","Faculty committee meetings are scheduled during teaching hours creating conflicts.","Faculty","2025-06-10"
"349","Hostel quiet hours are not enforced consistently across different buildings.","Hostel","2025-06-09"
"350","Softball field dugouts have splinters and need refinishing for player safety.","Sports","2025-06-08"
"351","Classroom door locks stick making it difficult to secure rooms after hours.","Maintenance","2025-06-07"
"352","Faculty grant application support services are understaffed and overwhelmed.","Faculty","2025-06-06"
"353","Hostel elevator inspections are overdue raising safety compliance concerns.","Hostel","2025-06-05"
"354","Cross country running trails have overgrown vegetation blocking safe passage.","Sports","2025-06-04"
"355","Campus lighting timers are not adjusted seasonally leaving areas dark too early.","Maintenance","2025-06-03"
"356","Faculty tenure review processes lack transparency and clear evaluation criteria.","Faculty","2025-06-02"
"357","Hostel room assignment system does not consider roommate compatibility factors.","Hostel","2025-06-01"
"358","Field hockey goals are missing nets making goal scoring difficult to judge.","Sports","2025-05-31"
"359","Student union building escalators frequently break down causing crowding.","Maintenance","2025-05-30"
"360","Faculty parking permits are overpriced compared to available space quality.","Faculty","2025-05-29"
"361","Hostel cleaning supplies are insufficient for residents to maintain room hygiene.","Hostel","2025-05-28"
"362","Rock climbing holds are loose and need tightening before accidents occur.","Sports","2025-05-27"
"363","Campus ATM machines are frequently out of service or empty of cash.","Maintenance","2025-05-26"
